id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
924098103224832000,2017-10-28T02:18:51.000Z,energi,Energi,The World's Safest Blockchain. \n\nBuilding the most user centric NFT marketplace. \nFollow @GonnaMakeItNFTs and sign up for the GMI token airdrop.,,,"[{""start"": 89, ""end"": 105, ""username"": ""GonnaMakeItNFTs""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/OeRvrLHjpP"", ""expanded_url"": ""https://energi.world/"", ""display_url"": ""energi.world""}]",Metaverse,1537718815039049728,https://pbs.twimg.com/profile_images/1524111763419115521/rkD6WC_P_normal.jpg,False,49624,27,0,3754,https://t.co/OeRvrLHjpP,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
57014887,2009-07-15T13:27:49.000Z,jeffyew_,Jeff Yew - Monochrome,CEO @MonochromeAsset,,,"[{""start"": 4, ""end"": 20, ""username"": ""MonochromeAsset""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/lkq2B9q7kD"", ""expanded_url"": ""https://mnchr.me/m/bio"", ""display_url"": ""mnchr.me/m/bio""}]",Australia,1543832210322513920,https://pbs.twimg.com/profile_images/1597037887404396544/LiunJkGd_normal.jpg,False,4245,1498,57,4464,https://t.co/lkq2B9q7kD,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
1101647425867902976,2019-03-02T00:56:28.000Z,unstoppableweb,unstoppable.nft,"Unstoppable Domains is the #1 provider of Web3 domains. Your name, universal wallet address, login for Web3 | 🎙️ Unstoppable Podcast on Apple, Spotify, YouTube",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Th18zvy9j1"", ""expanded_url"": ""https://linktr.ee/unstoppableweb"", ""display_url"": ""linktr.ee/unstoppableweb""}]",UDverse,1603389594627706881,https://pbs.twimg.com/profile_images/1494097574613057541/gATQxSnP_normal.jpg,False,309955,2413,941,9730,https://t.co/Th18zvy9j1,True,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
828668619986964480,2017-02-06T18:16:09.000Z,AragonProject,Aragon 🦅,"Govern better, together. Learn about DAOs and launch your organization in minutes.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/0ZJMBGqfAg"", ""expanded_url"": ""http://aragon.org"", ""display_url"": ""aragon.org""}]",🌎,1589667496923369474,https://pbs.twimg.com/profile_images/1518985894346244097/3i_sQtdi_normal.jpg,False,104122,146,1658,4118,https://t.co/0ZJMBGqfAg,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
2895317462,2014-11-10T05:32:38.000Z,AugurProject,Augur,"Your global, no-limit betting platform.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/pU27AAogNu"", ""expanded_url"": ""http://augur.net"", ""display_url"": ""augur.net""}]",The Internet,,https://pbs.twimg.com/profile_images/1288232382571716608/gHlsZLWU_normal.png,False,157674,258,2305,3315,https://t.co/pU27AAogNu,True,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4053977488,2015-10-27T14:23:54.000Z,golemproject,Golem Network,Join the 💥💪 revolutionary community of 𝗪𝗲𝗯 𝟯.𝟬 creators & providers that believes in the value of 🪐💻✨ decentralized technology solutions❗,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/h7uO2xjYzD"", ""expanded_url"": ""http://chat.golem.network"", ""display_url"": ""chat.golem.network""}]",,,https://pbs.twimg.com/profile_images/1529061667304243201/BM8FBolH_normal.jpg,False,170594,406,2008,4768,https://t.co/h7uO2xjYzD,True,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
831847934534746114,2017-02-15T12:49:37.000Z,bobanetwork,Boba Network 🧋,"First multichain Layer-2 network with Hybrid Compute smart contracts | making blockchains faster, cheaper, and smarter | deployed on ETH, AVAX, Moonbeam & BNB",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/UHsnX74GWa"", ""expanded_url"": ""https://link3.to/bobanetwork"", ""display_url"": ""link3.to/bobanetwork""}]",Layer 2,1601625683557392384,https://pbs.twimg.com/profile_images/1536795904706895872/PVQ769qJ_normal.jpg,False,365736,3289,3286,3427,https://t.co/UHsnX74GWa,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
959183169554735105,2018-02-01T21:54:23.000Z,FlexaHQ,Flexa,"The fastest, most fraud-proof payment network in the world.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/WkyiOafn3w"", ""expanded_url"": ""http://flexa.network"", ""display_url"": ""flexa.network""}]","New York, NY",,https://pbs.twimg.com/profile_images/1259881952531877889/G5iwAeBm_normal.png,False,45178,45,337,563,https://t.co/WkyiOafn3w,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
798302211415670784,2016-11-14T23:10:53.000Z,AppSell,Sell.app,"We help you sell your digital products from one simple, straightforward platform. https://t.co/6dFUuNYGuh",,,,"[{""start"": 82, ""end"": 105, ""url"": ""https://t.co/6dFUuNYGuh"", ""expanded_url"": ""http://sell.app"", ""display_url"": ""sell.app""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/6XEGf9pzzg"", ""expanded_url"": ""https://sell.app"", ""display_url"": ""sell.app""}]",✨ The Metaverse ✨,1506352920266252298,https://pbs.twimg.com/profile_images/1572706309148999682/afup6fYh_normal.jpg,False,1907,1337,19,56,https://t.co/6XEGf9pzzg,False,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
18855108,2009-01-11T02:47:42.000Z,BEASTMODE,John Meyer 👻👩‍🍳🚀,"CEO @Ghost_Financial, Co-Founder, Homebound ($148M raised), Formerly @joinAtomic, Thiel Fellow.",,,"[{""start"": 4, ""end"": 20, ""username"": ""Ghost_Financial""}, {""start"": 69, ""end"": 80, ""username"": ""joinAtomic""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/WfwieltsfH"", ""expanded_url"": ""http://johnmeyer.com"", ""display_url"": ""johnmeyer.com""}]","Austin, TX",1511592694593855490,https://pbs.twimg.com/profile_images/1541251589691817984/zOTj2bvS_normal.jpg,False,17405,582,263,9796,https://t.co/WfwieltsfH,True,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
3992601857,2015-10-19T06:34:35.000Z,iota,IOTA,"An open-source, scalable, feeless, green & permissionless distributed ledger. IOTA Foundation: EU Transparency Register 500027331119-04",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/cKcDA12lwf"", ""expanded_url"": ""http://www.iota.org"", ""display_url"": ""iota.org""}]","Berlin, Germany",,https://pbs.twimg.com/profile_images/1267400480734490624/uq3Cten-_normal.jpg,False,267763,4,2753,4492,https://t.co/cKcDA12lwf,True,,,,2022-12-16T14:45:48+00:00,https://api.twitter.com/2/users/1346125867441942528/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
